rang2016;rang2015;pays;score;UE;euro;continent;population;superficie
55;59;argentina;53,748;0;0;0;40091359;2780400
17;18;australia;84,27;0;0;0;23839595;7682300
24;26;austria;80,159;1;1;1;8372930;83858
22;23;belgium;80,688;1;1;1;10827519;30528
57;56;brazil;51,646;0;0;0;203773375;8514877
50;55;bulgaria;61,743;1;0;1;7351234;110912
10;5;canada;90,048;0;0;0;33740000;9984670
36;35;chile;67,442;0;0;0;18086199;756096
1;2;Hong Kong (China);100;0;0;0;7264100;1104
25;22;china;79,351;0;0;0;1378890000;9640821
51;51;colombia;58,293;0;0;0;48638072;1138914
58;58;croatia;51,589;1;0;1;4443000;56538
27;29;czech republic;76,145;1;0;1;10532770;78866
6;8;denmark;91,756;1;0;1;5532531;43094
31;31;estonia;73,548;1;1;1;1315819;451
20;20;finland;82,037;1;1;1;5502075;338145
32;32;France (Metropolitan);73,464;1;1;1;62793432;5515
12;10;germany;88,569;1;1;1;81757600;357022
56;50;greece;52,125;1;1;1;11306183;131957
46;48;hungary;62,649;1;0;1;10013628;93032
23;24;iceland;80,58;0;0;1;318452;103
41;44;india;65,831;0;0;0;1277401883;3287240
48;42;indonesia;62,376;0;0;0;237556363;1904569
7;16;ireland;91,54;1;1;1;4581269;70273
21;21;israel;80,827;0;0;0;7697600;2077
35;38;italy;68,705;1;1;1;60200060;301318
26;27;japan;78,716;0;0;0;127387000;377873
53;52;jordan;56,875;0;0;0;6316000;89342
47;34;kazakhstan;62,636;0;0;0;17010000;2724900
29;25;south korea;74,195;0;0;0;48456369;99538
37;43;latvia;66,554;1;1;1;2248961;646
30;28;lithuania;74,039;1;1;1;3053800;653
11;6;luxembourg;90,016;1;1;1;502207;2586
19;14;malaysia;83,048;0;0;0;28306700;329847
45;39;mexico;63,235;0;0;0;107550697;1958201
60;57;mongolia;45,79;0;0;0;2671000;1564116
8;15;netherlands;91,321;1;1;1;17110000;41526
16;17;new zealand;85,606;0;0;0;4315800;270534
9;7;norway;90,054;0;0;1;5195580;385155
54;54;peru;56,202;0;0;0;29461933;1285216
42;41;philippines;65,54;0;0;0;92226600;300076
33;33;poland;71,303;1;0;1;38163895;312685
39;36;portugal;66,406;1;1;1;10636888;92391
13;13;qatar;86,716;0;0;0;1409000;11
49;47;romania;62,268;1;0;1;21466174;238391
44;45;russia;63,939;0;0;0;142905208;17098242
4;3;singapore;97,649;0;0;0;5076700;710,2
40;46;slovakia;65,886;1;1;1;5424057;49033
43;49;slovenia;64,87;1;1;1;2164976;20256
52;53;south africa;57,797;0;0;0;50586757;1221037
34;37;spain;69,354;1;1;1;46087170;50603
5;9;sweden;92,353;1;0;1;9366092;449964
2;4;switzerland;98,018;0;0;1;7761800;41293
14;11;Republic of China (Taiwan);86,374;0;0;0;23069345;3598
28;30;thailand;74,681;0;0;0;64232760;513115
38;40;turkey;66,551;0;0;0;77804122;783562
15;12;United Arab Emirates;86,065;0;0;0;8264070;836
59;60;ukraine;46,512;0;0;1;46936000;6037
18;19;united kingdom;83,338;1;0;1;62041708;24361
3;1;united states;97,881;0;0;0;321830000;9826675
61;61;venezuela;32,603;0;0;0;31524413;916445
